"inegi","afro","indigena","resto"
"13047",0.24,3.53,96.23
"13048",0.28,8.18,91.54
"13049",0.21,2.02,97.77
"13050",0.17,7.56,92.28
"13051",0.78,6.78,92.45
"13052",0.45,2.3,97.26
"13053",0.2,50.83,48.97
"13054",0.35,43.08,56.57
"13055",0.54,83.24,16.23
"13056",0.49,4,95.51
"13057",0.29,1.1,98.62
"13058",3.71,59.26,37.03
"13059",0.45,17.17,82.37
"13060",0.25,46.53,53.22
"13061",0.69,1.26,98.06
"13062",0.13,55.43,44.44
"13063",0.44,4.86,94.7
"13064",0.4,2.3,97.3
"13065",0.15,1.32,98.53
"13066",0.93,1.26,97.81
"13067",1.29,3.42,95.29
"13068",0.22,51.95,47.83
"13069",1.39,5.49,93.12
"13070",0.49,2.04,97.46
"13071",0.38,1.41,98.2
"13072",0.1,0.78,99.13
"13073",0.35,70.12,29.53
"13074",0.35,1.43,98.22
"13075",0.33,2.66,97.01
"13076",1.06,1.91,97.03
"13077",0.49,7.24,92.27
"13078",0.97,98.72,0.31
"13079",0.16,3.29,96.55
"13080",0.15,93.09,6.75
"13081",2.5,10.37,87.13
"13082",0.78,2.2,97.02
"13083",0.51,2.29,97.19
"13084",1.17,22.8,76.02
"14001",0.93,0.25,98.82
"14002",0.07,0.48,99.45
"14003",0.71,0.1,99.18
"14004",1.04,0.24,98.72
"14005",0.2,0.07,99.74
"14006",0.4,0.9,98.7
"14007",0.21,0.23,99.55
"14008",0.24,0.34,99.43
"14009",0.08,0.23,99.69
"14010",0.14,0.12,99.74
"14011",0.83,0.2,98.96
"14012",0.18,0.36,99.45
"14013",0.41,0.1,99.49
"14014",1.13,0.57,98.3
"14015",0.43,3.16,96.41
"14016",0.11,0.22,99.66
"14017",0.13,0.39,99.48
"14018",0.04,0.16,99.8
"14019",0.11,63.9,35.99
"14020",0.55,0.35,99.1
"14021",3.32,0.74,95.94
"14022",0.43,2.26,97.31
"14023",1.06,0.41,98.53
"14024",0.13,0.3,99.57
"14025",0.24,2.9,96.86
"14026",0.78,0.22,99
"14027",0.16,2.25,97.59
"14028",0.1,0.05,99.86
"14029",0.21,0.23,99.57
"14030",0.43,0.63,98.94
"14031",0.09,4.95,94.96
"14032",0.48,0.26,99.26
"14033",0.14,0.31,99.55
"14034",1.49,NA,98.51
"14035",0.48,0.1,99.41
"14036",0.09,0.18,99.73
"14037",0.33,0.75,98.93
"14038",0.72,0.05,99.23
"14039",1.81,0.74,97.46
"14040",0.24,0.7,99.06
"14041",0.09,0.88,99.03
"14042",0.14,11.32,88.54
"14043",0.78,0.47,98.75
"14044",1.03,0.99,97.97
"14045",0.35,0.41,99.24
"14046",0.27,0.42,99.31
"14047",0.22,0.81,98.97
"14048",1.02,0.41,98.57
"14049",0.08,0.26,99.65
"14050",0.51,0.52,98.98
"14051",3.58,0.33,96.09
"14052",0.05,0.23,99.71
"14053",0.77,0.12,99.11
"14054",0.07,NA,99.93
"14055",0.22,0.48,99.3
"14056",0.1,0.05,99.85
"14057",0.08,0.06,99.86
"14058",0.77,0.18,99.06
"14059",1.5,0.43,98.07
"14060",0.3,0.2,99.5
"14061",0.35,76.4,23.26
"14062",0.11,0.17,99.71
"14063",0.24,0.42,99.34
"14064",0.38,0.32,99.3
"14065",0.58,0.2,99.22
"14066",0.43,0.63,98.93
"14067",0.71,1.88,97.4
"14068",1.63,0.63,97.73
"14069",0.27,0.26,99.47
"14070",0.64,0.76,98.61
"14071",0.23,2.2,97.57
"14072",0.32,0.05,99.63
"14073",0.18,0.25,99.57
"14074",0.42,0.83,98.75
"14075",0.11,0.13,99.76
"14076",0.06,4.61,95.33
"14077",0.04,0.25,99.71
"14078",0.08,0.07,99.85
"14079",0.4,0.51,99.09
"14080",0.43,0.27,99.3
"14081",0.1,0.3,99.6
"14082",0.57,1.03,98.4
"14083",0.24,1.23,98.53
"14084",0.07,0.59,99.34
"14085",0.11,0.52,99.37
"14086",0.39,0.19,99.42
"14087",0.36,0.13,99.51
"14088",0.1,0.19,99.71
"14089",0.36,0.03,99.62
"14090",0.83,0.18,98.99
"14091",0.18,0.4,99.42
"14092",0.39,0.27,99.34
"14093",0.71,0.33,98.96
"14094",0.66,0.47,98.87
"14095",2.21,0.41,97.39
"14096",0.51,0.61,98.88
"14097",1.15,1.18,97.67
"14098",1.7,1.23,97.07
"14099",0.16,0.79,99.05
"14100",0.29,2.51,97.2
"14101",1.32,0.89,97.79
"14102",0.46,0.17,99.37
"14103",0.2,0.5,99.3
"14104",0.11,1.19,98.7
"14105",0.42,0.1,99.47
"14106",0.21,5.89,93.89
"14107",0.25,0.65,99.1
"14108",0.39,1.36,98.25
"14109",0.94,0.35,98.7
"14110",0.35,0.44,99.2
"14111",0.09,0.03,99.88
"14112",0.23,0.86,98.9
"14113",0.33,1.85,97.81
"14114",0.2,0.29,99.51
"14115",0.06,7.45,92.5
"14116",0.3,0.26,99.44
"14117",0.59,0.3,99.11
"14118",0.12,0.09,99.79
"14119",0.15,0.22,99.63
"14120",1.7,2.01,96.29
"14121",0.32,1.41,98.27
"14122",3.14,0.38,96.48
"14123",0.23,0.36,99.41
"14124",0.36,0.45,99.19
"14125",0.22,0.78,99
"15001",1.47,31.34,67.19
"15002",1.99,3.35,94.66
"15003",0.94,12.04,87.02
"15004",0.27,0.41,99.31
"15005",1.2,1.68,97.12
"15006",0.73,1.2,98.06
"15007",3.44,18.07,78.5
"15008",0.29,0.14,99.57
"15009",2.27,1.07,96.67
"15010",2.76,0.93,96.31
"15011",1.61,4.81,93.57
"15012",0.31,3.1,96.58
"15013",1.43,4.6,93.97
"15014",0.61,32.78,66.61
"15015",2.12,0.51,97.36
"15016",1.28,1.5,97.22
"15017",4.65,0.79,94.57
"15018",3.03,1.05,95.92
"15019",0.93,0.82,98.25
"15020",1.58,1.85,96.57
"15021",2.01,0.38,97.61
"15022",1.4,3.9,94.7
"15023",1.96,3.56,94.48
"15024",1.29,1.94,96.77
"15025",4.47,5.75,89.78
"15026",6.94,25.67,67.38
"15027",1.87,0.89,97.24
"15028",5.44,2.18,92.38
"15029",3.59,3.23,93.18
"15030",1.79,5.96,92.24
"15031",4.56,8.79,86.65
"15032",0.51,30.59,68.9
"15033",2.28,4.29,93.43
